"gene"	"adj.pval.TimePoint"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g086530"	0	"Scaffold_04"	20248221	20253961	NA	NA	NA	NA	NA
"PGEN_.00g149640"	0	"Scaffold_06"	53208943	53234353	"Q80YX1"	"TENA_MOUSE"	"Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"	"GO:0001968; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009612; GO:0010628; GO:0014012; GO:0031012; GO:0031175; GO:0042060; GO:0042475; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0062023; GO:0071300; GO:0071305; GO:0071774; GO:0071799; GO:0098966"	"basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interstitial matrix [GO:0005614]; perisynaptic extracellular matrix [GO:0098966]; fibronectin binding [GO:0001968]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; neuron projection development [GO:0031175]; odontogenesis of dentin-containing tooth [GO:0042475]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; wound healing [GO:0042060]"
"PGEN_.00g198010"	0	"Scaffold_09"	20195697	20233222	"P05099"	"MATN1_CHICK"	"Cartilage matrix protein (Matrilin-1)"	"GO:0003429; GO:0005201; GO:0005509; GO:0005615; GO:0031012; GO:0062023"	"collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]"
"PGEN_.00g165230"	2.01396875647169e-302	"Scaffold_07"	34059828	34064039	"Q8IWY4"	"SCUB1_HUMAN"	"Signal peptide, CUB and EGF-like domain-containing protein 1"	"GO:0005509; GO:0005615; GO:0005886; GO:0006954; GO:0007512; GO:0007596; GO:0009791; GO:0009897; GO:0009986; GO:0019897; GO:0022617; GO:0042802; GO:0045446; GO:0045880; GO:0046982; GO:0051260"	"cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; adult heart development [GO:0007512]; blood coagulation [GO:0007596]; endothelial cell differentiation [GO:0045446]; extracellular matrix disassembly [GO:0022617]; inflammatory response [GO:0006954]; positive regulation of smoothened signaling pathway [GO:0045880]; post-embryonic development [GO:0009791]; protein homooligomerization [GO:0051260]"
"PGEN_.00g167890"	3.58558197610504e-298	"Scaffold_07"	41687471	41690284	"Q91755"	"GRIK2_XENLA"	"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Fragment)"	"GO:0005234; GO:0016021; GO:0030054; GO:0038023; GO:0045211"	"cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; extracellularly glutamate-gated ion channel activity [GO:0005234]; signaling receptor activity [GO:0038023]"
"PGEN_.00g279150"	2.64581073818086e-292	"Scaffold_14"	6951103	6982495	"Q11D10"	"ASSY_CHESB"	"Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)"	"GO:0004055; GO:0005524; GO:0005737; GO:0006526"	"cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]"
"PGEN_.00g316430"	1.16191313769207e-181	"Scaffold_16"	1807747	1819568	NA	NA	NA	NA	NA
"PGEN_.00g049950"	1.85649107550865e-174	"Scaffold_02"	46625003	46631377	"Q8NET6"	"CHSTD_HUMAN"	"Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3)"	"GO:0000139; GO:0001537; GO:0008146; GO:0016021; GO:0016051; GO:0030166; GO:0030206; GO:0047756"	"Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; chondroitin 4-sulfotransferase activity [GO:0047756]; N-acetylgalactosamine 4-O-sulfotransferase activity [GO:0001537]; sulfotransferase activity [GO:0008146]; carbohydrate biosynthetic process [GO:0016051]; chondroitin sulfate biosynthetic process [GO:0030206]; proteoglycan biosynthetic process [GO:0030166]"
"PGEN_.00g316040"	2.88136491275986e-172	"Scaffold_16"	438200	459444	NA	NA	NA	NA	NA
"PGEN_.00g275080"	4.82500204000336e-162	"Scaffold_13"	42455843	42493552	"Q92551"	"IP6K1_HUMAN"	"Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)"	"GO:0000828; GO:0000832; GO:0001650; GO:0005524; GO:0005654; GO:0005829; GO:0032958; GO:0043647; GO:0046854; GO:0052723; GO:0052724; GO:0120163"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphate metabolic process [GO:0043647]; negative regulation of cold-induced thermogenesis [GO:0120163]; phosphatidylinositol phosphorylation [GO:0046854]"
