"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"1","GO:0045740",0.00364120743251127,0.99991011029885,2,11,"positive regulation of DNA replication","BP","P","DNA metabolism","PGEN_.00g024960; PGEN_.00g211830","Q6BK42; P16056","DDI1_DEBHA; MET_MOUSE","DNA damage-inducible protein 1 (EC 3.4.23.-); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"2","GO:0080111",0.0162344998478753,0.99991231846397,1,3,"DNA demethylation","BP","P","DNA metabolism","PGEN_.00g131030","Q9NXW9","ALKB4_HUMAN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)"
"3","GO:0006313",0.0177042456615824,0.999869698187212,1,6,"transposition, DNA-mediated","BP","P","DNA metabolism","PGEN_.00g304970","D2GZW6","VRTN_AILME","Vertnin"
"4","GO:0097325",0.0151295744014914,1,1,1,"melanocyte proliferation","BP","P","cell cycle and proliferation","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"5","GO:0048144",0.0162015064112786,1,1,1,"fibroblast proliferation","BP","P","cell cycle and proliferation","PGEN_.00g208580","Q3L254","WNT7B_CHICK","Protein Wnt-7b"
"6","GO:0071425",0.0215783788930926,0.999844717194325,1,3,"hematopoietic stem cell proliferation","BP","P","cell cycle and proliferation","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"7","GO:0045836",0.0218684949186091,0.999880221077841,1,2,"positive regulation of meiotic nuclear division","BP","P","cell cycle and proliferation","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"8","GO:0072201",0.0221289366649169,0.999877334696354,1,2,"negative regulation of mesenchymal cell proliferation","BP","P","cell cycle and proliferation","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"9","GO:0050680",0.0274676424613751,0.997875259186102,2,25,"negative regulation of epithelial cell proliferation","BP","P","cell cycle and proliferation","PGEN_.00g051430; PGEN_.00g204470","Q2HJF4; P41221","PBLD_BOVIN; WNT5A_HUMAN","Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-); Protein Wnt-5a"
"10","GO:0060750",0.0279658369864854,0.999803501169799,1,2,"epithelial cell proliferation involved in mammary gland duct elongation","BP","P","cell cycle and proliferation","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
