"gene"	"adj.pval.Initial.Treatment"	"adj.pval.treatment"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g000280"	0.00757050868707225	0.00565570664591758	1.71177786999693e-07	0.626057598755379	8.24703351616414e-06	"Scaffold_01"	402378	436712	"Q8ZXT3"	"Y1111_PYRAE"	"Uncharacterized protein PAE1111"	""	""
"PGEN_.00g001170"	0.0105854874852073	7.45483338271939e-17	0.000472492650337265	0.0330534903540935	0.000540845124821442	"Scaffold_01"	2366888	2417042	"Q66HA5"	"C2D1A_RAT"	"Coiled-coil and C2 domain-containing protein 1A (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1)"	"GO:0000122; GO:0000978; GO:0001227; GO:0001650; GO:0005634; GO:0005815; GO:0005829; GO:0005886"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; negative regulation of transcription by RNA polymerase II [GO:0000122]"
"PGEN_.00g003320"	6.48098182171531e-11	0.00193984509353567	2.91532186589465e-14	0.0913027042185692	1.31726734425098e-13	"Scaffold_01"	8256420	8256734	NA	NA	NA	NA	NA
"PGEN_.00g003330"	1.04604269654824e-25	8.31418567881298e-13	1.44266121430449e-39	0.695225639268849	8.22623440218128e-05	"Scaffold_01"	8257067	8258104	NA	NA	NA	NA	NA
"PGEN_.00g004840"	0.0323748220518026	0.0180264454239338	0.848219979115699	0.858392044783372	0.685614267009894	"Scaffold_01"	12482981	12539247	"P54646"	"AAPK2_HUMAN"	"5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)"	"GO:0003682; GO:0004672; GO:0004674; GO:0004679; GO:0004712; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006468; GO:0006633; GO:0006695; GO:0006853; GO:0007050; GO:0007165; GO:0008610; GO:0010494; GO:0010508; GO:0010629; GO:0014850; GO:0016055; GO:0016236; GO:0016239; GO:0016241; GO:0016607; GO:0030424; GO:0030425; GO:0031669; GO:0032007; GO:0034599; GO:0035174; GO:0035556; GO:0035690; GO:0042149; GO:0042304; GO:0042593; GO:0042752; GO:0043025; GO:0043066; GO:0045821; GO:0046872; GO:0047322; GO:0048511; GO:0050405; GO:0055089; GO:0062028; GO:0070507; GO:0071277; GO:0071333; GO:0071380; GO:0097009; GO:1901796; GO:1903829; GO:1904428; GO:2000758"	"axon [GO:0030424]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; [acetyl-CoA carboxylase] kinase activity [GO:0050405]; [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity [GO:0047322]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; carnitine shuttle [GO:0006853]; cell cycle arrest [GO:0007050]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to nutrient levels [GO:0031669]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cholesterol biosynthetic process [GO:0006695]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; glucose homeostasis [GO:0042593]; intracellular signal transduction [GO:0035556]; lipid biosynthetic process [GO:0008610]; macroautophagy [GO:0016236]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of TOR signaling [GO:0032007]; negative regulation of tubulin deacetylation [GO:1904428]; positive regulation of autophagy [GO:0010508]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of glycolytic process [GO:0045821]; positive regulation of macroautophagy [GO:0016239]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of stress granule assembly [GO:0062028]; response to muscle activity [GO:0014850]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g006120"	0.00198981473390972	0.00534536287930201	0.00120632092729808	0.0708667507715677	0.0363377503483491	"Scaffold_01"	15441130	15455918	NA	NA	NA	NA	NA
"PGEN_.00g009320"	5.98417372393409e-53	0.000565423582036112	3.58878368656201e-06	0.0384955408529053	0.155276302668572	"Scaffold_01"	24301248	24318845	"Q6INU7"	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"GO:0016021; GO:0016491"	"integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]"
"PGEN_.00g010440"	0.0121858696998175	0.0258992893718577	0.447130317498207	0.624044623304204	0.438456781498894	"Scaffold_01"	27487194	27547063	NA	NA	NA	NA	NA
"PGEN_.00g010450"	9.82465665629687e-12	6.99654298291876e-05	0.0696593800148285	0.506321708497007	0.713502281341809	"Scaffold_01"	27614094	27617495	NA	NA	NA	NA	NA
"PGEN_.00g010510"	5.7463136386485e-09	2.83703368714321e-09	0.37650161098539	0.503238374938714	0.0171985322642623	"Scaffold_01"	27890876	27895358	NA	NA	NA	NA	NA
