Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q86IC9,CAMT1_DICDI,Probable caffeoyl-CoA O-methyltransferase 1 (EC 2.1.1.104) (O-methyltransferase 5),omt5 DDB_G0275499,Dictyostelium discoideum (Slime mold),GO:0032259; GO:0042409; GO:0046872
P04177,TY3H_RAT,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),Th,Rattus norvegicus (Rat),GO:0001666; GO:0001963; GO:0001975; GO:0004497; GO:0004511; GO:0005634; GO:0005737; GO:0005739; GO:0005790; GO:0005829; GO:0006585; GO:0006631; GO:0006665; GO:0007507; GO:0007601; GO:0007605; GO:0007612; GO:0007613; GO:0007617; GO:0007626; GO:0008016; GO:0008021; GO:0008198; GO:0008199; GO:0009414; GO:0009416; GO:0009635; GO:0009651; GO:0009887; GO:0009898; GO:0010038; GO:0010043; GO:0010259; GO:0014070; GO:0014823; GO:0015842; GO:0016137; GO:0016597; GO:0017085; GO:0018963; GO:0019825; GO:0019899; GO:0019904; GO:0021987; GO:0030424; GO:0030425; GO:0030659; GO:0031410; GO:0031667; GO:0032355; GO:0032496; GO:0033076; GO:0033162; GO:0034617; GO:0035094; GO:0035176; GO:0035240; GO:0035690; GO:0035900; GO:0035902; GO:0042136; GO:0042214; GO:0042416; GO:0042418; GO:0042421; GO:0042423; GO:0042462; GO:0042493; GO:0042745; GO:0042755; GO:0042802; GO:0043005; GO:0043025; GO:0043195; GO:0043204; GO:0043434; GO:0045471; GO:0045472; GO:0046684; GO:0048545; GO:0048596; GO:0050890; GO:0051412; GO:0051602; GO:0052314; GO:0070848; GO:0071287; GO:0071312; GO:0071316; GO:0071333; GO:0071363
Q8L840,RQL4A_ARATH,ATP-dependent DNA helicase Q-like 4A (EC 3.6.4.12) (RecQ-like protein 4A) (AtRecQ4A) (AtRecQl4A) (SGS1-like protein) (AtSGS1),RECQL4A RECQ4A RQL4A SGS1 At1g10930 T19D16.15,Arabidopsis thaliana (Mouse-ear cress),GO:0000724; GO:0003676; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006268; GO:0006281; GO:0006310; GO:0006974; GO:0009378; GO:0009506; GO:0032508; GO:0043138; GO:0046872; GO:0051276; GO:0070417; GO:0071215
A1E2V0,BIRC3_CANLF,Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BIRC3),BIRC3,Canis lupus familiaris (Dog) (Canis familiaris),GO:0005634; GO:0005737; GO:0031398; GO:0043027; GO:0043154; GO:0046872; GO:0060546; GO:0061630; GO:1990001
P34456,YMD2_CAEEL,Uncharacterized protein F54H12.2,F54H12.2,Caenorhabditis elegans,GO:0004748; GO:0005829; GO:0009263
O00463,TRAF5_HUMAN,TNF receptor-associated factor 5 (RING finger protein 84),TRAF5 RNF84,Homo sapiens (Human),GO:0005164; GO:0005813; GO:0005829; GO:0006915; GO:0007165; GO:0008270; GO:0009898; GO:0031625; GO:0031996; GO:0032991; GO:0035631; GO:0042802; GO:0042981; GO:0043123; GO:0051091; GO:0051092
Q00945,CONO_LYMST,Conopressin/neurophysin [Cleaved into: Lys-conopressin G; Neurophysin],,Lymnaea stagnalis (Great pond snail) (Helix stagnalis),GO:0005185; GO:0005576
Q5SWK7,RN145_MOUSE,RING finger protein 145 (EC 2.3.2.27),Rnf145,Mus musculus (Mouse),GO:0005783; GO:0005789; GO:0008270; GO:0012505; GO:0016021; GO:0061630
Q8ZXT3,Y1111_PYRAE,Uncharacterized protein PAE1111,PAE1111,Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827),
Q5REG4,DTX3_PONAB,Probable E3 ubiquitin-protein ligase DTX3 (EC 2.3.2.27) (Protein deltex-3) (Deltex3) (RING-type E3 ubiquitin transferase DTX3),DTX3,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0005737; GO:0007219; GO:0016567; GO:0016740; GO:0046872
Q8QG60,CRY2_CHICK,Cryptochrome-2,CRY2,Gallus gallus (Chicken),GO:0005634; GO:0005737; GO:0007623; GO:0009416; GO:0009881; GO:0018298; GO:0032922; GO:0042752; GO:0042754; GO:0043153; GO:0045892; GO:0071949
Q9H583,HEAT1_HUMAN,"HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]",HEATR1 BAP28 UTP10,Homo sapiens (Human),GO:0000462; GO:0001650; GO:0003723; GO:0005654; GO:0005730; GO:0005739; GO:0006364; GO:0016020; GO:0030686; GO:0032040; GO:0034455; GO:0045943; GO:2000234
A0JMR6,MYSM1_XENLA,"Histone H2A deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)",mysm1,Xenopus laevis (African clawed frog),GO:0003677; GO:0003713; GO:0004843; GO:0005634; GO:0006338; GO:0008237; GO:0035522; GO:0036459; GO:0042393; GO:0045944; GO:0046872
O88917,AGRL1_RAT,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1),Adgrl1 Cirl Cirl1 Cl1 Lphn1,Rattus norvegicus (Rat),GO:0004930; GO:0005886; GO:0005887; GO:0007157; GO:0007166; GO:0007189; GO:0007420; GO:0014069; GO:0015643; GO:0016524; GO:0030054; GO:0030246; GO:0030424; GO:0030426; GO:0035584; GO:0042734; GO:0043005; GO:0045202; GO:0050839; GO:0051965; GO:0090129; GO:0098978; GO:0099056
O94910,AGRL1_HUMAN,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),ADGRL1 KIAA0821 LEC2 LPHN1,Homo sapiens (Human),GO:0004930; GO:0005886; GO:0005887; GO:0007157; GO:0007166; GO:0007186; GO:0007189; GO:0014069; GO:0016021; GO:0016524; GO:0030054; GO:0030246; GO:0030424; GO:0030426; GO:0035584; GO:0042734; GO:0043005; GO:0045202; GO:0050839; GO:0051965; GO:0090129
Q7RX33,EGT1_NEUCR,Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase (EC 2.1.1.44); Hercynylcysteine S-oxide synthase (EC 1.14.99.51)],egt-1 NCU04343,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),GO:0005634; GO:0005737; GO:0016491; GO:0030745; GO:0032259; GO:0046872; GO:0052699
Q92968,PEX13_HUMAN,Peroxisomal membrane protein PEX13 (Peroxin-13),PEX13,Homo sapiens (Human),GO:0001561; GO:0001764; GO:0001967; GO:0005777; GO:0005778; GO:0005779; GO:0006625; GO:0007626; GO:0016020; GO:0016560; GO:0016567; GO:0021795; GO:0043231; GO:0060152; GO:1990429
P62081,RS7_HUMAN,40S ribosomal protein S7 (Small ribosomal subunit protein eS7),RPS7,Homo sapiens (Human),GO:0000184; GO:0001843; GO:0003723; GO:0003730; GO:0003735; GO:0005634; GO:0005654; GO:0005730; GO:0005815; GO:0005829; GO:0005840; GO:0005925; GO:0006364; GO:0006412; GO:0006413; GO:0006614; GO:0010628; GO:0016020; GO:0019083; GO:0019901; GO:0022627; GO:0030154; GO:0032040; GO:0032991; GO:0042274; GO:0045202; GO:0048027; GO:0050821; GO:1902255; GO:1904667; GO:1990904; GO:1990948; GO:2000059
Q14676,MDC1_HUMAN,Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1),MDC1 KIAA0170 NFBD1,Homo sapiens (Human),GO:0005634; GO:0005654; GO:0005694; GO:0005925; GO:0006303; GO:0008022; GO:0016604; GO:0031573; GO:0042802; GO:0070975
Q9FKK7,XYLA_ARATH,Xylose isomerase (EC 5.3.1.5),XYLA At5g57655 MUA2.25,Arabidopsis thaliana (Mouse-ear cress),GO:0005773; GO:0005774; GO:0005783; GO:0005794; GO:0009045; GO:0009536; GO:0042732; GO:0046872; GO:0099503
Q3ZCD7,TECR_BOVIN,"Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)",TECR GPSN2,Bos taurus (Bovine),GO:0005783; GO:0006665; GO:0006694; GO:0016491; GO:0030176; GO:0030497; GO:0042761; GO:0102758
Q9D180,CFA57_MOUSE,Cilia- and flagella-associated protein 57 (WD repeat-containing protein 65),Cfap57 Wdr65,Mus musculus (Mouse),
Q9D6Z0,ALKB7_MOUSE,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7)",Alkbh7 Spata11,Mus musculus (Mouse),GO:0005739; GO:0005759; GO:0006631; GO:0006974; GO:0010883; GO:0046872; GO:0051213; GO:1902445
O67987,CLCA_RHOOP,"Chlorocatechol 1,2-dioxygenase (EC 1.13.11.-)",clcA,Rhodococcus opacus (Nocardia opaca),GO:0008199; GO:0009712; GO:0018575; GO:0018576; GO:0019439
P86029,HQD2_CANAL,"Catechol 1,2-dioxygenase (EC 1.13.11.1)",HQD2 CAALFM_C402230CA CaO19.12036 CaO19.4567,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),GO:0005506; GO:0008199; GO:0009712; GO:0016702; GO:0018576; GO:0019614; GO:0019615
Q3B8M3,EI3EB_XENLA,Eukaryotic translation initiation factor 3 subunit E-B (eIF3e-B) (Eukaryotic translation initiation factor 3 subunit 6-B),eif3e-b eif3s6-b,Xenopus laevis (African clawed frog),GO:0001732; GO:0003743; GO:0005634; GO:0005852; GO:0006413; GO:0016282; GO:0033290; GO:0071540
Q8BKE9,IFT74_MOUSE,Intraflagellar transport protein 74 homolog (Capillary morphogenesis gene 1 protein) (CMG-1) (Coiled-coil domain-containing protein 2),Ift74 Ccdc2 Cmg1,Mus musculus (Mouse),GO:0003334; GO:0003682; GO:0005634; GO:0005813; GO:0005929; GO:0007219; GO:0007368; GO:0007507; GO:0008544; GO:0030992; GO:0031410; GO:0033630; GO:0035735; GO:0042073; GO:0045944; GO:0048487; GO:0050680; GO:0060271; GO:1905515
P35408,PE2R4_HUMAN,Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor),PTGER4 PTGER2,Homo sapiens (Human),GO:0004957; GO:0005623; GO:0005886; GO:0006954; GO:0006955; GO:0007186; GO:0007188; GO:0007189; GO:0007204; GO:0007254; GO:0009612; GO:0016021; GO:0030278; GO:0032496; GO:0033624; GO:0042093; GO:0050710; GO:0050715; GO:0050728; GO:0050729; GO:0051492; GO:0060348; GO:0070371; GO:0071260; GO:0071380; GO:2000420
Q9GKL8,CATL1_CHLAE,Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain],CTSL CTSL1,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops),GO:0004197; GO:0005764; GO:0046718
