"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","TP","gene","uniprot","uniprot_taxa.id"
"1","GO:0070447",0.0352565431211886,0.99549803129902,3,8,"positive regulation of oligodendrocyte progenitor proliferation","BP","P","cell cycle and proliferation","Day10","PGEN_.00g299380","C0HL13","LRP2"
"2","GO:0070447",0.0352565431211886,0.99549803129902,3,8,"positive regulation of oligodendrocyte progenitor proliferation","BP","P","cell cycle and proliferation","Day10","PGEN_.00g229320","P98158","LRP2"
"3","GO:0070447",0.0352565431211886,0.99549803129902,3,8,"positive regulation of oligodendrocyte progenitor proliferation","BP","P","cell cycle and proliferation","Day10","PGEN_.00g229340","P98158","LRP2"
"334","GO:0000915",0.0247935658661273,0.998343622334795,2,10,"actomyosin contractile ring assembly","BP","P","cell cycle and proliferation","Day135","PGEN_.00g267550","E9Q5G3","KIF23"
"335","GO:0000915",0.0247935658661273,0.998343622334795,2,10,"actomyosin contractile ring assembly","BP","P","cell cycle and proliferation","Day135","PGEN_.00g243530","E9Q5G3","KIF23"
"336","GO:0051256",0.0276327378384728,0.998010644589364,2,11,"mitotic spindle midzone assembly","BP","P","cell cycle and proliferation","Day135","PGEN_.00g267550","E9Q5G3","KIF23"
"337","GO:0051256",0.0276327378384728,0.998010644589364,2,11,"mitotic spindle midzone assembly","BP","P","cell cycle and proliferation","Day135","PGEN_.00g243530","E9Q5G3","KIF23"
"521","GO:2001013",0.0170386278053801,0.999351928869213,2,4,"epithelial cell proliferation involved in renal tubule morphogenesis","BP","P","cell cycle and proliferation","Day145","PGEN_.00g171350","Q8R1S4","MTSS1"
"522","GO:2001013",0.0170386278053801,0.999351928869213,2,4,"epithelial cell proliferation involved in renal tubule morphogenesis","BP","P","cell cycle and proliferation","Day145","PGEN_.00g171340","O43312","MTSS1"
"523","GO:0033262",0.0286023339307023,0.998558781524869,2,4,"regulation of nuclear cell cycle DNA replication","BP","P","cell cycle and proliferation","Day145","PGEN_.00g036880","Q68CJ6","SLIP"
"524","GO:0033262",0.0286023339307023,0.998558781524869,2,4,"regulation of nuclear cell cycle DNA replication","BP","P","cell cycle and proliferation","Day145","PGEN_.00g250420","Q68CJ6","SLIP"
"831","GO:0097325",0.0151247005802078,1,1,1,"melanocyte proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g204470","P41221","WNT5A"
"832","GO:0048144",0.0161959345328096,1,1,1,"fibroblast proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g208580","Q3L254","WNT7B"
"833","GO:0071425",0.0215723416878526,0.999844804496878,1,3,"hematopoietic stem cell proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g204470","P41221","WNT5A"
"834","GO:0045836",0.0218628426140628,0.999880283333197,1,2,"positive regulation of meiotic nuclear division","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g204470","P41221","WNT5A"
"835","GO:0072201",0.0221231988510608,0.999877398659011,1,2,"negative regulation of mesenchymal cell proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g204470","P41221","WNT5A"
"836","GO:0050680",0.0274539509941273,0.997876885359956,2,25,"negative regulation of epithelial cell proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g051430","Q2HJF4","PBLD"
"837","GO:0050680",0.0274539509941273,0.997876885359956,2,25,"negative regulation of epithelial cell proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g204470","P41221","WNT5A"
"838","GO:0060750",0.0279575732281232,0.999803618114895,1,2,"epithelial cell proliferation involved in mammary gland duct elongation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g204470","P41221","WNT5A"
"839","GO:0051450",0.0328133047345852,0.999639073962539,1,3,"myoblast proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g211830","P16056","MET"
"840","GO:0042130",0.0415988469922808,0.999345551072399,1,4,"negative regulation of T cell proliferation","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g049510","Q8TDM6","DLG5"
"841","GO:0033262",0.0475788620267997,0.999141640613516,1,4,"regulation of nuclear cell cycle DNA replication","BP","P","cell cycle and proliferation","Persistent","PGEN_.00g036880","Q68CJ6","SLIP"
"4","GO:0022604",0.00173495289649059,0.999768023413353,6,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g023790","Q5SVZ6","ZMYM1"
