"","gene","GO.Slim.Term","adj.pval.Initial.Treatment","scaffold","start","end","uniprot.id","uniprot_taxa.id","Uniprot.Name","GO.IDs","GO.Descript"
"1","PGEN_.00g001210","other biological processes",0.000848594268096208,"Scaffold_01",2577228,2600155,"Q9WTK8","SPO11_MOUSE","Meiotic recombination protein SPO11 (EC 5.6.2.2)","GO:0000706; GO:0000737; GO:0000781; GO:0001541; GO:0003677; GO:0003918; GO:0005524; GO:0005623; GO:0005654; GO:0007129; GO:0007130; GO:0007131; GO:0007141; GO:0007286; GO:0016889; GO:0034502; GO:0042138; GO:0045141; GO:0046872; GO:0048477; GO:1990918","cell [GO:0005623]; chromosome, telomeric region [GO:0000781]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; metal ion binding [GO:0046872]; DNA catabolic process, endonucleolytic [GO:0000737]; double-strand break repair involved in meiotic recombination [GO:1990918]; male meiosis I [GO:0007141]; meiotic DNA double-strand break formation [GO:0042138]; meiotic DNA double-strand break processing [GO:0000706]; meiotic telomere clustering [GO:0045141]; oogenesis [GO:0048477]; ovarian follicle development [GO:0001541]; protein localization to chromosome [GO:0034502]; reciprocal meiotic recombination [GO:0007131]; spermatid development [GO:0007286]; synapsis [GO:0007129]; synaptonemal complex assembly [GO:0007130]"
"2","PGEN_.00g002750","other biological processes",0.0468129122916425,"Scaffold_01",6722689,6757020,"P49454","CENPF_HUMAN","Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)","GO:0000278; GO:0000775; GO:0000776; GO:0000922; GO:0000940; GO:0001822; GO:0003682; GO:0005623; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005829; GO:0005930; GO:0007059; GO:0007094; GO:0007517; GO:0008022; GO:0008134; GO:0010389; GO:0015031; GO:0016202; GO:0016363; GO:0021591; GO:0030154; GO:0030496; GO:0036064; GO:0042493; GO:0042803; GO:0045120; GO:0045892; GO:0048471; GO:0051301; GO:0051310; GO:0051382; GO:0051726; GO:0070840; GO:0071897; GO:0097539","axoneme [GO:0005930]; cell [GO:0005623]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; condensed chromosome outer kinetochore [GO:0000940]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]; chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]; cell differentiation [GO:0030154]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA biosynthetic process [GO:0071897]; kidney development [GO:0001822]; kinetochore assembly [GO:0051382]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly checkpoint [GO:0007094]; muscle organ development [GO:0007517]; negative regulation of transcription, DNA-templated [GO:0045892]; protein transport [GO:0015031]; regulation of cell cycle [GO:0051726]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of striated muscle tissue development [GO:0016202]; response to drug [GO:0042493]; ventricular system development [GO:0021591]"
"3","PGEN_.00g002820","other biological processes",0.0233326452494087,"Scaffold_01",6816778,6817485,"Q70KF4","CMYA5_MOUSE","Cardiomyopathy-associated protein 5 (Heart and skeletal muscle-specific and sprouty domain-containing) (Myospryn) (Stretch-response protein 553) (Stretch-responsive fibronectin protein type 3) (TRIM-like protein)","GO:0005634; GO:0014733; GO:0016529; GO:0031430; GO:0032515; GO:0042802; GO:0043034; GO:0048471; GO:0070885","costamere [GO:0043034]; M band [GO:0031430]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; sarcoplasmic reticulum [GO:0016529]; identical protein binding [GO:0042802]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; regulation of skeletal muscle adaptation [GO:0014733]"
"4","PGEN_.00g004830","other biological processes",0.00860625266227681,"Scaffold_01",12421414,12459019,"Q8BRK8","AAPK2_MOUSE","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)","GO:0003682; GO:0004672; GO:0004674; GO:0004679; GO:0004712; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006468; GO:0006633; GO:0006695; GO:0006914; GO:0008610; GO:0010468; GO:0010494; GO:0010508; GO:0010629; GO:0014823; GO:0014850; GO:0016055; GO:0016241; GO:0016324; GO:0016607; GO:0019216; GO:0030424; GO:0030425; GO:0030674; GO:0031000; GO:0031588; GO:0031669; GO:0032007; GO:0032991; GO:0034599; GO:0035174; GO:0035556; GO:0035690; GO:0042149; GO:0042593; GO:0042752; GO:0043025; GO:0043066; GO:0044877; GO:0045821; GO:0046872; GO:0047322; GO:0048511; GO:0050405; GO:0055089; GO:0062028; GO:0070507; GO:0071277; GO:0071333; GO:0071380; GO:0097009; GO:1903829; GO:1904428; GO:2000758","apical plasma membrane [GO:0016324]; axon [GO:0030424]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; [acetyl-CoA carboxylase] kinase activity [GO:0050405]; [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity [GO:0047322]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein binding, bridging [GO:0030674]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein-containing complex binding [GO:0044877]; autophagy [GO:0006914]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to nutrient levels [GO:0031669]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cholesterol biosynthetic process [GO:0006695]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; glucose homeostasis [GO:0042593]; intracellular signal transduction [GO:0035556]; lipid biosynthetic process [GO:0008610]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of TOR signaling [GO:0032007]; negative regulation of tubulin deacetylation [GO:1904428]; positive regulation of autophagy [GO:0010508]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of glycolytic process [GO:0045821]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of gene expression [GO:0010468]; regulation of lipid metabolic process [GO:0019216]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of stress granule assembly [GO:0062028]; response to activity [GO:0014823]; response to caffeine [GO:0031000]; response to muscle activity [GO:0014850]; rhythmic process [GO:0048511]; Wnt signaling pathway [GO:0016055]"
"5","PGEN_.00g004840","other biological processes",0.0323669642199814,"Scaffold_01",12482981,12539247,"P54646","AAPK2_HUMAN","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)","GO:0003682; GO:0004672; GO:0004674; GO:0004679; GO:0004712; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006468; GO:0006633; GO:0006695; GO:0006853; GO:0007050; GO:0007165; GO:0008610; GO:0010494; GO:0010508; GO:0010629; GO:0014850; GO:0016055; GO:0016236; GO:0016239; GO:0016241; GO:0016607; GO:0030424; GO:0030425; GO:0031669; GO:0032007; GO:0034599; GO:0035174; GO:0035556; GO:0035690; GO:0042149; GO:0042304; GO:0042593; GO:0042752; GO:0043025; GO:0043066; GO:0045821; GO:0046872; GO:0047322; GO:0048511; GO:0050405; GO:0055089; GO:0062028; GO:0070507; GO:0071277; GO:0071333; GO:0071380; GO:0097009; GO:1901796; GO:1903829; GO:1904428; GO:2000758","axon [GO:0030424]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; [acetyl-CoA carboxylase] kinase activity [GO:0050405]; [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity [GO:0047322]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; carnitine shuttle [GO:0006853]; cell cycle arrest [GO:0007050]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to nutrient levels [GO:0031669]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cholesterol biosynthetic process [GO:0006695]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; glucose homeostasis [GO:0042593]; intracellular signal transduction [GO:0035556]; lipid biosynthetic process [GO:0008610]; macroautophagy [GO:0016236]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of TOR signaling [GO:0032007]; negative regulation of tubulin deacetylation [GO:1904428]; positive regulation of autophagy [GO:0010508]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of glycolytic process [GO:0045821]; positive regulation of macroautophagy [GO:0016239]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of stress granule assembly [GO:0062028]; response to muscle activity [GO:0014850]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]"
"6","PGEN_.00g005260","other biological processes",0.000177368605275262,"Scaffold_01",13368110,13398858,"Q20930","MIG17_CAEEL","Metalloprotease mig-17 (EC 3.4.24.-) (Abnormal cell migration protein 17)","GO:0004222; GO:0005604; GO:0005615; GO:0008104; GO:0008237; GO:0016540; GO:0030334; GO:0031638; GO:0035262; GO:0046872; GO:1903354","basement membrane [GO:0005604]; extracellular space [GO:0005615]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; gonad morphogenesis [GO:0035262]; protein autoprocessing [GO:0016540]; protein localization [GO:0008104]; regulation of cell migration [GO:0030334]; regulation of distal tip cell migration [GO:1903354]; zymogen activation [GO:0031638]"
"7","PGEN_.00g006410","other biological processes",0.0296476457372322,"Scaffold_01",16099097,16127374,"P43005","EAA3_HUMAN","Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)","GO:0005313; GO:0005314; GO:0005886; GO:0005887; GO:0006811; GO:0007268; GO:0010460; GO:0014047; GO:0015108; GO:0015501; GO:0015813; GO:0016020; GO:0016324; GO:0016595; GO:0030054; GO:0031901; GO:0031902; GO:0033229; GO:0042802; GO:0042883; GO:0043005; GO:0045202; GO:0046872; GO:0051260; GO:0051938; GO:0055038; GO:0070062; GO:0070779; GO:0098712; GO:0140009; GO:1902476","apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; early endosome membrane [GO:0031901]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; synapse [GO:0045202]; chloride transmembrane transporter activity [GO:0015108]; cysteine transmembrane transporter activity [GO:0033229]; glutamate binding [GO:0016595]; glutamate:sodium symporter activity [GO:0015501]; high-affinity glutamate transmembrane transporter activity [GO:0005314]; identical protein binding [GO:0042802]; L-glutamate transmembrane transporter activity [GO:0005313]; metal ion binding [GO:0046872]; chemical synaptic transmission [GO:0007268]; chloride transmembrane transport [GO:1902476]; cysteine transport [GO:0042883]; D-aspartate import across plasma membrane [GO:0070779]; glutamate secretion [GO:0014047]; ion transport [GO:0006811]; L-aspartate import across plasma membrane [GO:0140009]; L-glutamate import [GO:0051938]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813]; positive regulation of heart rate [GO:0010460]; protein homooligomerization [GO:0051260]"
"8","PGEN_.00g008040","other biological processes",0.0420966365366982,"Scaffold_01",20123365,20229166,"Q6KCD5","NIPBL_MOUSE","Nipped-B-like protein (Delangin homolog) (SCC2 homolog)","GO:0000122; GO:0000228; GO:0000785; GO:0000790; GO:0003007; GO:0003151; GO:0003682; GO:0005634; GO:0005654; GO:0005829; GO:0006302; GO:0006357; GO:0006974; GO:0007064; GO:0007076; GO:0007420; GO:0007507; GO:0007605; GO:0008022; GO:0019827; GO:0031065; GO:0032039; GO:0032116; GO:0034087; GO:0034088; GO:0034613; GO:0035115; GO:0035136; GO:0035261; GO:0036033; GO:0040018; GO:0042471; GO:0042634; GO:0042826; GO:0043231; GO:0045444; GO:0045778; GO:0045892; GO:0045944; GO:0045995; GO:0047485; GO:0048557; GO:0048589; GO:0048592; GO:0048638; GO:0048701; GO:0048703; GO:0050890; GO:0060325; GO:0061010; GO:0061038; GO:0070087; GO:0070550; GO:0071169; GO:0071481; GO:0071733; GO:0071921; GO:0090694; GO:1905406; GO:1990414; GO:2001224","chromatin [GO:0000785]; cytosol [GO:0005829]; integrator complex [GO:0032039]; intracellular membrane-bounded organelle [GO:0043231]; nuclear chromatin [GO:0000790]; nuclear chromosome [GO:0000228]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Scc2-Scc4 cohesin loading complex [GO:0090694]; SMC loading complex [GO:0032116]; chromatin binding [GO:0003682]; chromo shadow domain binding [GO:0070087]; histone deacetylase binding [GO:0042826]; mediator complex binding [GO:0036033]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; brain development [GO:0007420]; cellular protein localization [GO:0034613]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to X-ray [GO:0071481]; cognition [GO:0050890]; cohesin loading [GO:0071921]; developmental growth [GO:0048589]; double-strand break repair [GO:0006302]; ear morphogenesis [GO:0042471]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic forelimb morphogenesis [GO:0035115]; embryonic viscerocranium morphogenesis [GO:0048703]; establishment of mitotic sister chromatid cohesion [GO:0034087]; establishment of protein localization to chromatin [GO:0071169]; external genitalia morphogenesis [GO:0035261]; eye morphogenesis [GO:0048592]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; forelimb morphogenesis [GO:0035136]; gall bladder development [GO:0061010]; heart development [GO:0007507]; heart morphogenesis [GO:0003007]; maintenance of mitotic sister chromatid cohesion [GO:0034088]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid cohesion [GO:0007064]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; outflow tract morphogenesis [GO:0003151]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of mitotic cohesin loading [GO:1905406]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of neuron migration [GO:2001224]; positive regulation of ossification [GO:0045778]; positive regulation of transcription by RNA polymerase II [GO:0045944]; rDNA condensation [GO:0070550]; regulation of developmental growth [GO:0048638]; regulation of embryonic development [GO:0045995]; regulation of hair cycle [GO:0042634]; regulation of transcription by RNA polymerase II [GO:0006357]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; sensory perception of sound [GO:0007605]; stem cell population maintenance [GO:0019827]; transcriptional activation by promoter-enhancer looping [GO:0071733]; uterus morphogenesis [GO:0061038]"
"9","PGEN_.00g008080","other biological processes",0.00301229893613815,"Scaffold_01",20329294,20354610,"Q9NQI0","DDX4_HUMAN","Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog)","GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005737; GO:0007140; GO:0007141; GO:0007275; GO:0007276; GO:0007283; GO:0010529; GO:0016887; GO:0030154; GO:0030317; GO:0031047; GO:0034587; GO:0043046; GO:0043186; GO:0048471; GO:0071546; GO:0071547; GO:1990511","cytoplasm [GO:0005737]; nucleus [GO:0005634]; P granule [GO:0043186]; perinuclear region of cytoplasm [GO:0048471]; pi-body [GO:0071546]; piP-body [GO:0071547]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; cell differentiation [GO:0030154]; DNA methylation involved in gamete generation [GO:0043046]; flagellated sperm motility [GO:0030317]; gamete generation [GO:0007276]; gene silencing by RNA [GO:0031047]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; multicellular organism development [GO:0007275]; negative regulation of transposition [GO:0010529]; piRNA biosynthetic process [GO:1990511]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283]"
"10","PGEN_.00g008540","other biological processes",0.0227742710189179,"Scaffold_01",21928303,21978649,"Q2IA00","SPEF2_PIG","Sperm flagellar protein 2 (Protein KPL2)","GO:0005794; GO:0007283; GO:0030154","Golgi apparatus [GO:0005794]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]"
