"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat","genes","uniprot","uniprot_taxa.id","uniprot.name"
"1","GO:0033262",0.0286023339307023,0.998558781524869,2,4,"regulation of nuclear cell cycle DNA replication","BP","regulation of DNA replication during S phase","cell cycle and proliferation","P","PGEN_.00g036880; PGEN_.00g250420","Q68CJ6; Q68CJ6","SLIP_HUMAN; SLIP_HUMAN","Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center); Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"
"2","GO:0043486",0.0111989347238443,0.999757360946274,2,3,"histone exchange","BP","histone exchange","cell organization and biogenesis","P","PGEN_.00g150440; PGEN_.00g040360","Q6ZRS2; Q8I8U7","SRCAP_HUMAN; TRA1_DROME","Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator); Transcription-associated protein 1 (dTRA1)"
"3","GO:0021785",0.0228237200161322,0.999273215071295,2,3,"branchiomotor neuron axon guidance","BP","branchiomotor neuron axon guidance","cell organization and biogenesis","P","PGEN_.00g279870; PGEN_.00g087190","P00522; O75592","ABL_DROME; MYCB2_HUMAN","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)"
"4","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","microtubule cytoskeleton organization","cell organization and biogenesis","P","PGEN_.00g057650; PGEN_.00g274530; PGEN_.00g278620; PGEN_.00g301440; PGEN_.00g269010; PGEN_.00g233580","Q28205; P06603; Q8K389; Q5T5Y3; Q8TEW0; P68372","TBCD_BOVIN; TBA1_DROME; CK5P2_MOUSE; CAMP1_HUMAN; PARD3_HUMAN; TBB4B_MOUSE","Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Tubulin alpha-1 chain; CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48); Calmodulin-regulated spectrin-associated protein 1; Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha); Tubulin beta-4B chain (Tubulin beta-2C chain)"
"5","GO:0031860",0.0406383028511765,1,1,1,"telomeric 3' overhang formation","BP","telomeric 3' overhang formation","cell organization and biogenesis","P","PGEN_.00g041570","Q9JIM0","MRE11_RAT","Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)"
"6","GO:0030717",0.0423528377497582,1,1,1,"oocyte karyosome formation","BP","karyosome formation","cell organization and biogenesis","P","PGEN_.00g264480","O61267","LOK_DROME","Ovarian-specific serine/threonine-protein kinase Lok (EC 2.7.11.1) (Protein loki) (dMNK)"
"7","GO:0070830",0.0435779748558462,0.993332199033497,3,11,"bicellular tight junction assembly","BP","","cell organization and biogenesis","None","PGEN_.00g017050; PGEN_.00g057650; PGEN_.00g269010","Q5RDQ2; Q28205; Q8TEW0","MPP5_PONAB; TBCD_BOVIN; PARD3_HUMAN","MAGUK p55 subfamily member 5; Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)"
"8","GO:0022604",0.0439415217219145,0.992781973325579,3,16,"regulation of cell morphogenesis","BP","regulation of cell morphogenesis","cell organization and biogenesis","P","PGEN_.00g206990; PGEN_.00g301440; PGEN_.00g223270","Q5SVZ6; Q5T5Y3; Q803T2","ZMYM1_HUMAN; CAMP1_HUMAN; STRP1_DANRE","Zinc finger MYM-type protein 1; Calmodulin-regulated spectrin-associated protein 1; Striatin-interacting protein 1 homolog"
"9","GO:0030502",0.00833616201039215,1,2,2,"negative regulation of bone mineralization","BP","negative regulation of bone mineralization","developmental processes","P","PGEN_.00g252700; PGEN_.00g232320","Q9ESQ5; Q8CGN4","TRPM4_RAT; BCOR_MOUSE","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); BCL-6 corepressor (BCoR)"
"10","GO:0060740",0.00946266255953276,0.999812550463054,2,3,"prostate gland epithelium morphogenesis","BP","","developmental processes","","PGEN_.00g149640; PGEN_.00g242340","Q80YX1; Q01705","TENA_MOUSE; NOTC1_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]"
