"uniprot.id"	"gene"	"adj.pval.treatment"	"start"	"end"	"score"	"Match.ID"	"m_start"	"m_end"	"E.value"	"identity"	"al"	"protein.name.short"	"protein.name.long"	"gene.names"	"organism"	"GO.IDs"
"Q8IWY4"	"PGEN_.00g165230"	2.97807696504899e-288	913	985	210	"sp|Q8IWY4|SCUB1_HUMAN"	53	124	2.58e-19	52.055	73	"SCUB1_HUMAN"	"Signal peptide, CUB and EGF-like domain-containing protein 1"	"SCUBE1"	"Homo sapiens (Human)"	"GO:0005509; GO:0005615; GO:0005886; GO:0006954; GO:0007512; GO:0007596; GO:0009791; GO:0009897; GO:0009986; GO:0019897; GO:0022617; GO:0042802; GO:0045446; GO:0045880; GO:0046982; GO:0051260"
"P97346"	"PGEN_.00g043790"	6.593725058866e-228	172	305	310	"sp|P97346|NXN_MOUSE"	7	138	2.67e-33	41.045	134	"NXN_MOUSE"	"Nucleoredoxin (EC 1.8.1.8) (Protein Red-1)"	"Nxn Gn25"	"Mus musculus (Mouse)"	"GO:0001701; GO:0004791; GO:0005623; GO:0005634; GO:0005829; GO:0016055; GO:0030154; GO:0030178; GO:0031397; GO:0045454; GO:0047134; GO:0072358"
"Q8NET6"	"PGEN_.00g049950"	4.10997702463138e-155	75	287	215	"sp|Q8NET6|CHSTD_HUMAN"	38	239	5.36e-18	28.44	218	"CHSTD_HUMAN"	"Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3)"	"CHST13"	"Homo sapiens (Human)"	"GO:0000139; GO:0001537; GO:0008146; GO:0016021; GO:0016051; GO:0030166; GO:0030206; GO:0047756"
"Q29485"	"PGEN_.00g345410"	6.24758814366074e-150	191	367	153	"sp|Q29485|PLMN_ERIEU"	290	454	4.47e-09	25.824	182	"PLMN_ERIEU"	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]"	"PLG"	"Erinaceus europaeus (Western European hedgehog)"	"GO:0004252; GO:0005576; GO:0007596; GO:0042730; GO:0048771"
"P05099"	"PGEN_.00g198010"	3.14682131842777e-147	33	449	429	"sp|P05099|MATN1_CHICK"	30	455	1.13e-44	28.539	438	"MATN1_CHICK"	"Cartilage matrix protein (Matrilin-1)"	"MATN1 CMP"	"Gallus gallus (Chicken)"	"GO:0003429; GO:0005201; GO:0005509; GO:0005615; GO:0031012; GO:0062023"
"B3EWY9"	"PGEN_.00g116710"	5.74695367661108e-141	314	1384	698	"sp|B3EWY9|MLP_ACRMI"	1375	2432	4.6e-72	25.364	1167	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	""	"Acropora millepora (Staghorn coral) (Heteropora millepora)"	"GO:0005509; GO:0007160; GO:0016021"
"O15118"	"PGEN_.00g282120"	3.61759690774266e-126	610	1253	352	"sp|O15118|NPC1_HUMAN"	336	922	2.07e-32	24.811	661	"NPC1_HUMAN"	"NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)"	"NPC1"	"Homo sapiens (Human)"	"GO:0001618; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005887; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0015248; GO:0015485; GO:0016020; GO:0016021; GO:0016242; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0033344; GO:0034383; GO:0038023; GO:0042493; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1905103"
"Q92551"	"PGEN_.00g275080"	4.03229857620078e-105	24	435	529	"sp|Q92551|IP6K1_HUMAN"	61	448	4.01e-61	32.938	422	"IP6K1_HUMAN"	"Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)"	"IP6K1 IHPK1 KIAA0263"	"Homo sapiens (Human)"	"GO:0000828; GO:0000832; GO:0001650; GO:0005524; GO:0005654; GO:0005829; GO:0032958; GO:0043647; GO:0046854; GO:0052723; GO:0052724; GO:0120163"
"B3EWY9"	"PGEN_.00g075700"	5.80155602047277e-94	667	1365	707	"sp|B3EWY9|MLP_ACRMI"	819	1553	1.88e-73	30.739	758	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	""	"Acropora millepora (Staghorn coral) (Heteropora millepora)"	"GO:0005509; GO:0007160; GO:0016021"
NA	"PGEN_.00g127230"	5.75479164884325e-93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
