"gene"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g000280"	1.71285378317722e-07	0.627146382426752	8.25221706959982e-06	"Scaffold_01"	402378	436712	"Q8ZXT3"	"Y1111_PYRAE"	"Uncharacterized protein PAE1111"	""	""
"PGEN_.00g001170"	0.000472789628747175	0.033074265646583	0.000541185065189269	"Scaffold_01"	2366888	2417042	"Q66HA5"	"C2D1A_RAT"	"Coiled-coil and C2 domain-containing protein 1A (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1)"	"GO:0000122; GO:0000978; GO:0001227; GO:0001650; GO:0005634; GO:0005815; GO:0005829; GO:0005886"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; negative regulation of transcription by RNA polymerase II [GO:0000122]"
"PGEN_.00g002580"	0.0342995943922518	0.864424447338787	0.103760646590395	"Scaffold_01"	6245646	6316687	NA	NA	NA	NA	NA
"PGEN_.00g003320"	2.91715424921727e-14	0.0919591737758477	1.31809529355579e-13	"Scaffold_01"	8256420	8256734	NA	NA	NA	NA	NA
"PGEN_.00g003330"	1.44356797810951e-39	0.69566261327284	8.23140488263426e-05	"Scaffold_01"	8257067	8258104	NA	NA	NA	NA	NA
"PGEN_.00g003520"	0.0388651103174844	0.55474982847488	0.000768917623519648	"Scaffold_01"	8767297	8783750	NA	NA	NA	NA	NA
"PGEN_.00g004690"	3.26918455272985e-05	0.596170156848761	0.282190489068255	"Scaffold_01"	11962630	12021181	"Q9D7W5"	"MED8_MOUSE"	"Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)"	"GO:0000978; GO:0003712; GO:0005654; GO:0006357; GO:0016567; GO:0016592; GO:0070847"	"core mediator complex [GO:0070847]; mediator complex [GO:0016592]; nucleoplasm [GO:0005654]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator activity [GO:0003712]; protein ubiquitination [GO:0016567]; regulation of transcription by RNA polymerase II [GO:0006357]"
"PGEN_.00g005480"	0.00659269629535707	0.844456997729494	0.943286910085403	"Scaffold_01"	13725578	13827565	"Q12857"	"NFIA_HUMAN"	"Nuclear factor 1 A-type (NF1-A) (Nuclear factor 1/A) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/A) (NF-I/A) (NFI-A) (TGGCA-binding protein)"	"GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0003682; GO:0003700; GO:0005634; GO:0005654; GO:0006260; GO:0006355; GO:0008134; GO:0019079; GO:0030054; GO:0045944; GO:0060074; GO:0072189"	"cell junction [GO:0030054]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription factor binding [GO:0008134]; DNA replication [GO:0006260]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; synapse maturation [GO:0060074]; ureter development [GO:0072189]; viral genome replication [GO:0019079]"
"PGEN_.00g006120"	0.00120707914284034	0.0711700933806135	0.0363605899148703	"Scaffold_01"	15441130	15455918	NA	NA	NA	NA	NA
"PGEN_.00g009320"	3.59103936455488e-06	0.0385197366673949	0.155112327117899	"Scaffold_01"	24301248	24318845	"Q6INU7"	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"GO:0016021; GO:0016491"	"integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]"
