"gene"	"pval.treatment"	"pval.position"	"pval.treatment_x_position"	"adj.pval.treatment"	"adj.pval.position"	"adj.pval.treatment_x_position"
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-186.40;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-186.40"	6.54338591829858e-38	0.675573764177935	0.751265988719006	1.04694174692777e-35	0.730350015327498	0.826012713718551
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-14.21;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-14.21"	4.10538818250392e-15	3.98337470966881e-19	0.190882871959595	3.28431054600313e-13	9.51253662010462e-19	0.322972890179353
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0"	3.70663918426965e-14	5.36073870045165e-111	6.16268941725456e-07	1.97687423161048e-12	1.38341643882623e-110	1.61644312583726e-06
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-90.23;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-90.23"	6.37353073912248e-11	2.94495900691869e-08	0.193233799172965	2.54941229564899e-09	6.19991369877619e-08	0.322972890179353
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-121.8;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-121.8"	3.99150597292486e-10	0.588334785632529	0.186162352641411	1.27728191133595e-08	0.647310751425809	0.32027931637232
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.7;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.7"	3.68495081446351e-06	5.71502269515336e-05	0.0134257466695046	8.42274471877374e-05	0.000114300453903067	0.0320614845838915
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-259.0;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-259.0"	3.42119523939184e-06	0.945586437596628	0.926245043220171	8.42274471877374e-05	0.963654968251341	0.956123915582112
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-76.4;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-76.4"	4.75341595552153e-06	1.61549252612433e-36	0.8140049478395	9.50683191104306e-05	4.03873131531083e-36	0.859305274959441
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-36.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-36.0"	3.7016934251475e-05	0.518139937920847	0.144194268061759	0.000658078831137333	0.614091778276559	0.259225650448107
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-282.27;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-282.27"	0.000241041551693286	4.57786915536655e-148	0.544435836210517	0.00385666482709257	1.20075256534205e-147	0.684271662288501
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-94.6;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-94.6"	0.000367063433240998	0	0	0.00489417910987997	0	0
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-93.2;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-93.2"	0.000367063433240998	0	0	0.00489417910987997	0	0
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.11;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.11"	0.000761349386348269	0.193493169014394	0.385153228051526	0.00870113584398022	0.260158882708429	0.560222877165856
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-344.3;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-344.3"	0.000736085166353994	4.70524129191092e-08	0.687108049906389	0.00870113584398022	9.7771247624123e-08	0.785266342750159
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	0.000837463219178826	0.81334154431372	0.573334175075403	0.00893294100457414	0.852692178945769	0.697364168791158
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-110.14;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-110.14"	0.000968320208764864	0.0252187461903914	0.0312643039890082	0.00925522989738228	0.0409773960027617	0.0724969367861059
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1"	0.000983368176596867	0.000948202241317139	0.340767878439644	0.00925522989738228	0.00178485127777344	0.519265338574695
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0"	0.00145744646636315	0.0466985367321804	0.0265245164634373	0.0129550797010058	0.0732526066387143	0.0624106269727936
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-88.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-88.1"	0.00386660526442138	0	0	0.0325608864372327	0	0
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-260.4;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-260.4"	0.00410976817952824	2.05075950965434e-26	0.0945727314363929	0.0328781454362259	4.97153820522263e-26	0.186810333701517
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-420.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-420.1"	0.00556661405422311	8.18043836705591e-09	0.630594698054118	0.0424122975559856	1.79297279277938e-08	0.747371493990066
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-619.45;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-619.45"	0.00620292242919875	9.5634313677304e-66	0.397435175529633	0.0451121631214455	2.42880796640772e-65	0.566079329469162
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-151.13;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-151.13"	0.0065111083391519	2.31955268593454e-08	0.475719763586544	0.0452946667071436	4.94837906332702e-08	0.634293018115392
