"gene"	"pval.treatment"	"pval.position"	"pval.treatment_x_position"	"adj.pval.treatment"	"adj.pval.position"	"adj.pval.treatment_x_position"
"PGEN_00000265"	0.511065514270912	4.51461613832645e-229	0.210493917048922	0.761359447738863	1.20389763688705e-228	0.332830935017927
"PGEN_00000289"	0.406059209150655	0	0	0.721883038490054	0	0
"PGEN_00000301"	0.0840546725489754	0.975027809663923	0.484062350896007	0.192124965826229	0.975027809663923	0.553214115309722
"PGEN_00000315"	0.668500447878433	1.20148877514998e-20	0.930454030282112	0.77464727144789	1.74762003658178e-20	0.930454030282112
"PGEN_00000319"	0.0392434139902218	8.13326921500464e-23	0.00797772218528433	0.104649103973925	1.30132307440074e-22	0.0182347935663642
"PGEN_00000401"	0.0336887655624978	0	0	0.104649103973925	0	0
"PGEN_00000451"	0.0061866906738775	5.15079657600454e-07	0.24525843709259	0.0329956835940134	6.86772876800605e-07	0.332830935017927
"PGEN_00000455"	0.167783915028876	8.24473565236877e-05	0.248397233064789	0.335567830057751	0.000101473669567616	0.332830935017927
"PGEN_00000039"	3.51971552308883e-05	3.53631048247572e-96	0.000109172252381433	0.000563154483694213	8.08299538851592e-96	0.000291126006350487
"PGEN_00000497"	0.816119977252373	0	0	0.870527975735865	0	0
"PGEN_00000498"	0.00294557811788144	8.3606741413546e-43	0.249623201263445	0.0235646249430515	1.67213482827092e-42	0.332830935017927
"PGEN_00000505"	0.658035762580561	0	0	0.77464727144789	0	0
"PGEN_00000515"	0.0200889430472117	0.761508235190324	0.329572141782347	0.0803557721888468	0.812275450869679	0.405627251424427
"PGEN_00000520"	0.677816362516904	0.268573263087801	0.0375520680505944	0.77464727144789	0.306940872100344	0.0751041361011888
"PGEN_00000526"	0.523434620320468	0	0	0.761359447738863	0	0
"PGEN_00000545"	0.988511504561199	8.16142195461434e-36	0.589726648906898	0.988511504561199	1.4509194585981e-35	0.629041758834024
