"gene"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g275080"	6.43001698311917e-108	0.139255201277033	6.05792037953452e-244	"Scaffold_13"	42455843	42493552	"Q92551"	"IP6K1_HUMAN"	"Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)"	"GO:0000828; GO:0000832; GO:0001650; GO:0005524; GO:0005654; GO:0005829; GO:0032958; GO:0043647; GO:0046854; GO:0052723; GO:0052724; GO:0120163"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphate metabolic process [GO:0043647]; negative regulation of cold-induced thermogenesis [GO:0120163]; phosphatidylinositol phosphorylation [GO:0046854]"
"PGEN_.00g165230"	7.16758688557994e-17	0.149967444691797	6.35586328034082e-241	"Scaffold_07"	34059828	34064039	"Q8IWY4"	"SCUB1_HUMAN"	"Signal peptide, CUB and EGF-like domain-containing protein 1"	"GO:0005509; GO:0005615; GO:0005886; GO:0006954; GO:0007512; GO:0007596; GO:0009791; GO:0009897; GO:0009986; GO:0019897; GO:0022617; GO:0042802; GO:0045446; GO:0045880; GO:0046982; GO:0051260"	"cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; adult heart development [GO:0007512]; blood coagulation [GO:0007596]; endothelial cell differentiation [GO:0045446]; extracellular matrix disassembly [GO:0022617]; inflammatory response [GO:0006954]; positive regulation of smoothened signaling pathway [GO:0045880]; post-embryonic development [GO:0009791]; protein homooligomerization [GO:0051260]"
"PGEN_.00g086530"	0	3.87009116652035e-169	2.44008024665326e-199	"Scaffold_04"	20248221	20253961	NA	NA	NA	NA	NA
"PGEN_.00g149640"	1.38677054382198e-07	6.01388082433149e-56	5.32340461854331e-148	"Scaffold_06"	53208943	53234353	"Q80YX1"	"TENA_MOUSE"	"Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"	"GO:0001968; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009612; GO:0010628; GO:0014012; GO:0031012; GO:0031175; GO:0042060; GO:0042475; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0062023; GO:0071300; GO:0071305; GO:0071774; GO:0071799; GO:0098966"	"basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interstitial matrix [GO:0005614]; perisynaptic extracellular matrix [GO:0098966]; fibronectin binding [GO:0001968]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; neuron projection development [GO:0031175]; odontogenesis of dentin-containing tooth [GO:0042475]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; wound healing [GO:0042060]"
"PGEN_.00g127230"	1.13574222047521e-11	9.07392821166048e-08	1.4219645468309e-91	"Scaffold_05"	62825525	62833060	NA	NA	NA	NA	NA
"PGEN_.00g279140"	1.18777079513547e-16	3.37345096737783e-104	1.25437906418519e-90	"Scaffold_14"	6934908	6946622	"P50164"	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"GO:0009710; GO:0050358"	"tropinone reductase activity [GO:0050358]; tropane alkaloid biosynthetic process [GO:0009710]"
"PGEN_.00g208580"	1.03136977839068e-38	0.314910735124238	3.8494403659649e-72	"Scaffold_10"	11353032	11413765	"Q3L254"	"WNT7B_CHICK"	"Protein Wnt-7b"	"GO:0005109; GO:0005615; GO:0016055; GO:0021871; GO:0030182; GO:0045165; GO:0046330; GO:0048018; GO:0048144; GO:0060070; GO:0070307; GO:0071300; GO:0072089"	"extracellular space [GO:0005615]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; cellular response to retinoic acid [GO:0071300]; fibroblast proliferation [GO:0048144]; forebrain regionalization [GO:0021871]; lens fiber cell development [GO:0070307]; neuron differentiation [GO:0030182]; positive regulation of JNK cascade [GO:0046330]; stem cell proliferation [GO:0072089]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g316430"	3.0420745400588e-82	5.75112589640619e-22	1.25557186926522e-67	"Scaffold_16"	1807747	1819568	NA	NA	NA	NA	NA
"PGEN_.00g284710"	1.23602227170897e-05	0.0060123210060919	3.74458183601611e-64	"Scaffold_14"	20971964	20979053	NA	NA	NA	NA	NA
"PGEN_.00g104730"	0.000592312770877281	7.89564517961758e-08	8.41833900327538e-61	"Scaffold_05"	2521223	2525989	NA	NA	NA	NA	NA
