"search"	"gene"	"scaffold"	"start"	"stop"	"pval.treatment"	"pval.position"	"pval.treatment_x_position"	"adj.pval.treatment"	"adj.pval.position"	"adj.pval.treatment_x_position"	"uniprot.id"	"blastx.eval"	"prot.name"	"GO1"	"GO2"	"GO3"	"GO4"	"GO5"
"PGA_scaffold12__71_contigs__length_50438331:7674780"	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-76.4;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-76.4"	"PGA_scaffold12__71_contigs__length_50438331"	7674781	7675195	4.35339906226205e-05	2.38797529088207e-36	0.196978660380287	0.000497531321401377	5.87809302370971e-36	0.338888017858559	"P17931"	3.15e-06	"Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)"	"antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; eosinophil chemotaxis [GO:0048245]; epithelial cell differentiation [GO:0030855]; innate immune response [GO:0045087]; killing of cells of other organism [GO:0031640]; macrophage chemotaxis [GO:0048246]; monocyte chemotaxis [GO:0002548]; mononuclear cell migration [GO:0071674]; mRNA processing [GO:0006397]; negative regulation of endocytosis [GO:0045806]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of immunological synapse formation [GO:2000521]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell receptor signaling pathway [GO:0050860]; neutrophil chemotaxis [GO:0030593]; neutrophil degranulation [GO:0043312]; positive chemotaxis [GO:0050918]; positive regulation of calcium ion import [GO:0090280]; positive regulation of mononuclear cell migration [GO:0071677]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of T cell apoptotic process [GO:0070232]; regulation of T cell proliferation [GO:0042129]; RNA splicing [GO:0008380]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; immunological synapse [GO:0001772]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; nucleus [GO:0005634]; other organism cell [GO:0044216]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; spliceosomal complex [GO:0005681]"	"carbohydrate binding [GO:0030246]; chemoattractant activity [GO:0042056]; IgE binding [GO:0019863]; laminin binding [GO:0043236]; oligosaccharide binding [GO:0070492]; RNA binding [GO:0003723]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; immunological synapse [GO:0001772]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; nucleus [GO:0005634]; other organism cell [GO:0044216]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; spliceosomal complex [GO:0005681]; carbohydrate binding [GO:0030246]; chemoattractant activity [GO:0042056]; IgE binding [GO:0019863]; laminin binding [GO:0043236]; oligosaccharide binding [GO:0070492]; RNA binding [GO:0003723]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; eosinophil chemotaxis [GO:0048245]; epithelial cell differentiation [GO:0030855]; innate immune response [GO:0045087]; killing of cells of other organism [GO:0031640]; macrophage chemotaxis [GO:0048246]; monocyte chemotaxis [GO:0002548]; mononuclear cell migration [GO:0071674]; mRNA processing [GO:0006397]; negative regulation of endocytosis [GO:0045806]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of immunological synapse formation [GO:2000521]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell receptor signaling pathway [GO:0050860]; neutrophil chemotaxis [GO:0030593]; neutrophil degranulation [GO:0043312]; positive chemotaxis [GO:0050918]; positive regulation of calcium ion import [GO:0090280]; positive regulation of mononuclear cell migration [GO:0071677]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of T cell apoptotic process [GO:0070232]; regulation of T cell proliferation [GO:0042129]; RNA splicing [GO:0008380]"	"GO:0001772; GO:0002548; GO:0003723; GO:0005615; GO:0005634; GO:0005681; GO:0005737; GO:0005743; GO:0005886; GO:0006397; GO:0008380; GO:0016020; GO:0019863; GO:0030246; GO:0030593; GO:0030667; GO:0030855; GO:0031640; GO:0042056; GO:0042129; GO:0043236; GO:0043312; GO:0044216; GO:0045087; GO:0045806; GO:0048245; GO:0048246; GO:0050860; GO:0050918; GO:0061844; GO:0070062; GO:0070232; GO:0070492; GO:0071674; GO:0071677; GO:0090280; GO:0101003; GO:1902041; GO:2000521; GO:2001189; GO:2001237"
"PGA_scaffold18__69_contigs__length_27737463:17032320"	"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-170.3;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-170.3"	"PGA_scaffold18__69_contigs__length_27737463"	17032321	17044166	4.64487347966173e-14	0.193876702908806	0.921627884151306	1.79411890189091e-12	0.262883664961093	0.976559347445093	"P55097"	1.27e-10	"Cathepsin K (EC 3.4.22.38)"	"bone resorption [GO:0045453]; collagen catabolic process [GO:0030574]; intramembranous ossification [GO:0001957]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of mitophagy [GO:1903146]"	"extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]"	"collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; fibronectin binding [GO:0001968]; proteoglycan binding [GO:0043394]"	"extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; fibronectin binding [GO:0001968]; proteoglycan binding [GO:0043394]; bone resorption [GO:0045453]; collagen catabolic process [GO:0030574]; intramembranous ossification [GO:0001957]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of mitophagy [GO:1903146]"	"GO:0001957; GO:0001968; GO:0004197; GO:0005518; GO:0005615; GO:0005654; GO:0005764; GO:0030574; GO:0043231; GO:0043394; GO:0045453; GO:0051603; GO:1903146; GO:1903955"
"PGA_scaffold18__69_contigs__length_27737463:25439846"	"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0"	"PGA_scaffold18__69_contigs__length_27737463"	25439847	25479614	1.72191581491437e-11	0.0503194149375998	0.114918591824792	4.59177550643833e-10	0.0766772037144379	0.217151105121004	"O08688"	1.02e-23	"Calpain-5 (EC 3.4.22.-) (New calpain 3) (nCL-3)"	"proteolysis [GO:0006508]"	"cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]"	"calcium-dependent cysteine-type endopeptidase activity [GO:0004198]"	"cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; proteolysis [GO:0006508]"	"GO:0004198; GO:0005737; GO:0005925; GO:0006508; GO:0009986; GO:0070062"
"PGA_scaffold3__111_contigs__length_57743597:19283439"	"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-193.10;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-193.10"	"PGA_scaffold3__111_contigs__length_57743597"	19283440	19298219	5.6066215684091e-14	0.137125926925301	0.202087496318239	1.79411890189091e-12	0.190783898330854	0.343978717137428	"Q704E8"	1.47e-23	"ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)"	"cellular iron ion homeostasis [GO:0006879]"	"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]"	"ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]"	"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; cellular iron ion homeostasis [GO:0006879]"	"GO:0005524; GO:0005743; GO:0006879; GO:0016021; GO:0042626"
"PGA_scaffold3__111_contigs__length_57743597:7794586"	"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-78.0;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_est2genome-gene-78.0"	"PGA_scaffold3__111_contigs__length_57743597"	7794587	7845124	0.00306901437833128	0.0164271177608093	0.227743311796989	0.0223201045696821	0.027666724649784	0.369580358902125	"Q4R8T1"	1.48e-21	"EF-hand calcium-binding domain-containing protein 6 (DJ-1-binding protein) (DJBP) (Fragment)"	"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"	"nucleus [GO:0005634]"	"calcium ion binding [GO:0005509]"	"nucleus [GO:0005634]; calcium ion binding [GO:0005509]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"	"GO:0005509; GO:0005634; GO:0006351; GO:0006355"
"PGA_scaffold4__129_contigs__length_65288255:56223535"	"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-562.1;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-562.1"	"PGA_scaffold4__129_contigs__length_65288255"	56223536	56249536	0.002618123882559	0	0	0.0199476105337828	0	0	"Q9W4E2"	5e-18	"Neurobeachin (A-kinase anchor protein 550) (AKAP 550) (Protein rugose) (dAKAP550)"	"compound eye cone cell differentiation [GO:0042675]; eye photoreceptor cell development [GO:0042462]; mushroom body development [GO:0016319]; neuromuscular junction development [GO:0007528]; olfactory learning [GO:0008355]; short-term memory [GO:0007614]"	"cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]"	"protein kinase A binding [GO:0051018]"	"cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; protein kinase A binding [GO:0051018]; compound eye cone cell differentiation [GO:0042675]; eye photoreceptor cell development [GO:0042462]; mushroom body development [GO:0016319]; neuromuscular junction development [GO:0007528]; olfactory learning [GO:0008355]; short-term memory [GO:0007614]"	"GO:0005737; GO:0007528; GO:0007614; GO:0008355; GO:0016021; GO:0016319; GO:0042462; GO:0042675; GO:0043025; GO:0043204; GO:0051018"
"PGA_scaffold4__129_contigs__length_65288255:59474739"	"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-594.7;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_protein2genome-gene-594.7"	"PGA_scaffold4__129_contigs__length_65288255"	59474740	59475409	0.000467373494942396	0.00503001787777051	0.456491638347031	0.00393577679951491	0.00904272876902564	0.613770270046428	"Q9Y493"	5.89e-12	"Zonadhesin"	"binding of sperm to zona pellucida [GO:0007339]; single organismal cell-cell adhesion [GO:0016337]"	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"	""	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; binding of sperm to zona pellucida [GO:0007339]; single organismal cell-cell adhesion [GO:0016337]"	"GO:0005886; GO:0007339; GO:0016021; GO:0016337"
"PGA_scaffold4__129_contigs__length_65288255:9378612"	"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-94.6;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-94.6"	"PGA_scaffold4__129_contigs__length_65288255"	9378613	9389862	0.00594287951011996	0	0	0.0352170637636738	0	0	"P51569"	1.07e-15	"Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase)"	"glycoside catabolic process [GO:0016139]; glycosylceramide catabolic process [GO:0046477]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of nitric-oxide synthase activity [GO:0051001]; oligosaccharide metabolic process [GO:0009311]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]"	"alpha-galactosidase activity [GO:0004557]; catalytic activity [GO:0003824]; hydrolase activity [GO:0016787]; protein homodimerization activity [GO:0042803]; raffinose alpha-galactosidase activity [GO:0052692]; receptor binding [GO:0005102]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; alpha-galactosidase activity [GO:0004557]; catalytic activity [GO:0003824]; hydrolase activity [GO:0016787]; protein homodimerization activity [GO:0042803]; raffinose alpha-galactosidase activity [GO:0052692]; receptor binding [GO:0005102]; glycoside catabolic process [GO:0016139]; glycosylceramide catabolic process [GO:0046477]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of nitric-oxide synthase activity [GO:0051001]; oligosaccharide metabolic process [GO:0009311]"	"GO:0003824; GO:0004557; GO:0005102; GO:0005576; GO:0005615; GO:0005737; GO:0005764; GO:0005794; GO:0009311; GO:0016139; GO:0016787; GO:0042803; GO:0045019; GO:0046477; GO:0051001; GO:0052692; GO:0070062"
"PGA_scaffold6__104_contigs__length_61759565:25600026"	"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-256.9;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_protein2genome-gene-256.9"	"PGA_scaffold6__104_contigs__length_61759565"	25600027	25600387	0.00035667098307764	4.62223246650156e-33	0.669573295959581	0.0032155927334346	1.08758410976507e-32	0.80550170942506	"P19835"	6.97e-13	"Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase)"	"cholesterol catabolic process [GO:0006707]; fatty acid catabolic process [GO:0009062]; intestinal cholesterol absorption [GO:0030299]; intestinal lipid catabolic process [GO:0044258]; lipid digestion [GO:0044241]; lipid metabolic process [GO:0006629]; pancreatic juice secretion [GO:0030157]; protein esterification [GO:0018350]; triglyceride metabolic process [GO:0006641]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]"	"acylglycerol lipase activity [GO:0047372]; carboxylic ester hydrolase activity [GO:0052689]; catalytic activity [GO:0003824]; heparin binding [GO:0008201]; hydrolase activity [GO:0016787]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; acylglycerol lipase activity [GO:0047372]; carboxylic ester hydrolase activity [GO:0052689]; catalytic activity [GO:0003824]; heparin binding [GO:0008201]; hydrolase activity [GO:0016787]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]; cholesterol catabolic process [GO:0006707]; fatty acid catabolic process [GO:0009062]; intestinal cholesterol absorption [GO:0030299]; intestinal lipid catabolic process [GO:0044258]; lipid digestion [GO:0044241]; lipid metabolic process [GO:0006629]; pancreatic juice secretion [GO:0030157]; protein esterification [GO:0018350]; triglyceride metabolic process [GO:0006641]"	"GO:0003824; GO:0004771; GO:0004806; GO:0005576; GO:0005615; GO:0005737; GO:0006629; GO:0006641; GO:0006707; GO:0008201; GO:0009062; GO:0016787; GO:0018350; GO:0030157; GO:0030299; GO:0044241; GO:0044258; GO:0047372; GO:0052689; GO:0070062"
"PGA_scaffold6__104_contigs__length_61759565:28097608"	"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-281.0"	"PGA_scaffold6__104_contigs__length_61759565"	28097609	28114033	2.78312953273826e-06	2.67266536528228e-98	0.561425064525107	4.45300725238122e-05	6.89720094266395e-98	0.707307167905646	"Q96WV6"	7.13e-16	"Uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02"	"cell adhesion [GO:0007155]"	"anchored component of membrane [GO:0031225]; external side of cell wall [GO:0010339]; plasma membrane [GO:0005886]"	"cell adhesion molecule binding [GO:0050839]"	"anchored component of membrane [GO:0031225]; external side of cell wall [GO:0010339]; plasma membrane [GO:0005886]; cell adhesion molecule binding [GO:0050839]; cell adhesion [GO:0007155]"	"GO:0005886; GO:0007155; GO:0010339; GO:0031225; GO:0050839"
"PGA_scaffold6__104_contigs__length_61759565:53208815"	"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1"	"PGA_scaffold6__104_contigs__length_61759565"	53208816	53233526	3.06103755747848e-05	2.6727385674279e-09	0.535157403861033	0.000376743083997352	5.41314140238561e-09	0.679564957283852	"G4SLH0"	2.32e-12	"Titin homolog (EC 2.7.11.1)"	"actin filament organization [GO:0007015]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]"	"A band [GO:0031672]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; nuclear membrane [GO:0031965]; Z disc [GO:0030018]"	"actin filament binding [GO:0051015]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; myosin binding [GO:0017022]; protein serine/threonine kinase activity [GO:0004674]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]"	"A band [GO:0031672]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; nuclear membrane [GO:0031965]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; myosin binding [GO:0017022]; protein serine/threonine kinase activity [GO:0004674]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; actin filament organization [GO:0007015]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]"	"GO:0004674; GO:0005524; GO:0005859; GO:0006941; GO:0007015; GO:0008307; GO:0017022; GO:0030018; GO:0031430; GO:0031672; GO:0031674; GO:0031965; GO:0045214; GO:0046872; GO:0051015; GO:0051371; GO:0071688; GO:0097493"
