"gene"	"adj.pval.Initial.Treatment"	"adj.pval.treatment"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g000280"	0.00756635905466832	0.00567281456865247	1.71285378317722e-07	0.627146382426752	8.25221706959982e-06	"Scaffold_01"	402378	436712	"Q8ZXT3"	"Y1111_PYRAE"	"Uncharacterized protein PAE1111"	""	""
"PGEN_.00g001170"	0.0105803992721356	7.46116355541912e-17	0.000472789628747175	0.033074265646583	0.000541185065189269	"Scaffold_01"	2366888	2417042	"Q66HA5"	"C2D1A_RAT"	"Coiled-coil and C2 domain-containing protein 1A (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1)"	"GO:0000122; GO:0000978; GO:0001227; GO:0001650; GO:0005634; GO:0005815; GO:0005829; GO:0005886"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; negative regulation of transcription by RNA polymerase II [GO:0000122]"
"PGEN_.00g003320"	6.4846425660795e-11	0.00194149228721815	2.91715424921727e-14	0.0919591737758477	1.31809529355579e-13	"Scaffold_01"	8256420	8256734	NA	NA	NA	NA	NA
"PGEN_.00g003330"	1.04663354759666e-25	8.32124555909596e-13	1.44356797810951e-39	0.69566261327284	8.23140488263426e-05	"Scaffold_01"	8257067	8258104	NA	NA	NA	NA	NA
"PGEN_.00g004840"	0.0323669642199814	0.0180417523405123	0.848129490869109	0.859597413096865	0.686603414082209	"Scaffold_01"	12482981	12539247	"P54646"	"AAPK2_HUMAN"	"5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)"	"GO:0003682; GO:0004672; GO:0004674; GO:0004679; GO:0004712; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006468; GO:0006633; GO:0006695; GO:0006853; GO:0007050; GO:0007165; GO:0008610; GO:0010494; GO:0010508; GO:0010629; GO:0014850; GO:0016055; GO:0016236; GO:0016239; GO:0016241; GO:0016607; GO:0030424; GO:0030425; GO:0031669; GO:0032007; GO:0034599; GO:0035174; GO:0035556; GO:0035690; GO:0042149; GO:0042304; GO:0042593; GO:0042752; GO:0043025; GO:0043066; GO:0045821; GO:0046872; GO:0047322; GO:0048511; GO:0050405; GO:0055089; GO:0062028; GO:0070507; GO:0071277; GO:0071333; GO:0071380; GO:0097009; GO:1901796; GO:1903829; GO:1904428; GO:2000758"	"axon [GO:0030424]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; [acetyl-CoA carboxylase] kinase activity [GO:0050405]; [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity [GO:0047322]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; carnitine shuttle [GO:0006853]; cell cycle arrest [GO:0007050]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to nutrient levels [GO:0031669]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cholesterol biosynthetic process [GO:0006695]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; glucose homeostasis [GO:0042593]; intracellular signal transduction [GO:0035556]; lipid biosynthetic process [GO:0008610]; macroautophagy [GO:0016236]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of TOR signaling [GO:0032007]; negative regulation of tubulin deacetylation [GO:1904428]; positive regulation of autophagy [GO:0010508]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of glycolytic process [GO:0045821]; positive regulation of macroautophagy [GO:0016239]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of stress granule assembly [GO:0062028]; response to muscle activity [GO:0014850]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g006120"	0.00198515945663633	0.00536165984914145	0.00120707914284034	0.0711700933806135	0.0363605899148703	"Scaffold_01"	15441130	15455918	NA	NA	NA	NA	NA
"PGEN_.00g009320"	5.98755384917355e-53	0.000564162461790869	3.59103936455488e-06	0.0385197366673949	0.155112327117899	"Scaffold_01"	24301248	24318845	"Q6INU7"	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"GO:0016021; GO:0016491"	"integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]"
"PGEN_.00g010440"	0.0121805233753179	0.0258825350992354	0.447411354781361	0.625130676241682	0.438732367156855	"Scaffold_01"	27487194	27547063	NA	NA	NA	NA	NA
"PGEN_.00g010450"	9.83020605567345e-12	6.97565456378379e-05	0.0695436596025068	0.506639949671383	0.714518722770542	"Scaffold_01"	27614094	27617495	NA	NA	NA	NA	NA
"PGEN_.00g010510"	5.74955941002062e-09	2.83944271659738e-09	0.376738255618305	0.503554678128563	0.0172093421525472	"Scaffold_01"	27890876	27895358	NA	NA	NA	NA	NA
