"gene"	"pval.treatment1"	"pval.treatment2"	"position"	"pval.treatment1_x_treatment2"	"pval.treatment1_x_position"	"pval.treatment2_x_position"	"pval.treatment1_x_pval.treatment2_x_position"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"adj.pval.treatment1_x_position"	"adj.pval.treatment2_x_position"	"adj.pval.treatment1_x_pval.treatment2_x_position"
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1"	0.0341428997740141	0.705058604280158	0.000624051440616433	0.513911324062485	0.436822524166547	0.107173584900597	0.926738714715325	0.18174888162443	0.913816370840305	0.729591959084014	0.646293777707469	0.214347169801194	1
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9"	0.938778623702873	0.606409592742035	0.00244797454211965	0.180932471326894	0.0776881432053462	0.14565203787095	0.639860828040506	0.97030691688122	0.904538385643888	0.428332450861284	0.165734705504739	0.28419909828478	0.853147770720674
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-158.2;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-158.2"	0.292924456000478	0.0213201267646958	0	0.872428283854882	0	0	0	0.591156998209384	0.113707342745044	0.930590169445207	0	0	0
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-162.12;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-162.12"	0.00792390856958617	0.687667834462304	0	0.124513695276911	0	0	0	0.0603726367206565	0.912459518335839	0.349512127093084	0	0	0
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3"	0.738135315907484	0.797635468598262	0.261369285668013	0.169046013786492	0.0700066030584154	0.283869558671591	0.00272236640434902	0.894709473827254	0.938394668939132	0.42261503446623	0.153439129991047	0.482986657555449	0.00680591601087255
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-182.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-182.0"	0.725469946920405	0.923945604499388	0	0.678588405736166	0	0	0	0.886070164177594	0.985788415911608	0.820487900641808	0	0	0
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-19.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-19.3"	0.124014099868831	0.496847991948364	0	0.0631240967819408	0	0	0	0.361781070677184	0.863953288087171	0.210413655939803	0	0	0
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6"	0.799302815627645	0.178718569520146	0.693491919307092	0.572682808488937	0.0322478721156471	0.327745423472009	0.628642744813244	0.944243516874633	0.510624484343275	0.765571197085506	0.0747776744710657	0.500143331108095	0.845233942606042
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	0.472888100905695	0.210560260211774	0.333719208334938	0.0522497675433358	0.624231086793247	0.214046839485837	0.0818281750206857	0.794624449195047	0.530038095727457	0.192170364112178	0.818663720384586	0.380527714641488	0.179349424702873
"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	0.501606683554373	0.731813697819258	0.0354307490112578	0.0475707746771596	0.53061747841715	0.591887850709424	0.860790728418735	0.794624449195047	0.926554627816043	0.185642047520623	0.76485402294364	0.720834655498019	0.989384558121875
